CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
5.5810699999999995,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
0.29916,20.0,6.96,0,0.46399999999999997,5.856,42.1,4.428999999999999,3,223,18.6,13.0,21.1
0.2498,0.0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32,13.3
0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243,16.8,9.43,20.5
0.12744,0.0,6.91,0,0.44799999999999995,6.77,2.9,5.7209,3,233,17.9,4.84,26.6
0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,4.5,30.1
0.02899,40.0,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89,26.6
0.07977999999999999,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,7.19,29.1
0.59005,0.0,21.89,0,0.624,6.372000000000001,97.9,2.3274,4,437,21.2,11.12,23.0
10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79,7.5
11.5779,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666,20.2,25.68,9.7
0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281,19.0,7.22,23.9
0.049319999999999996,33.0,2.18,0,0.47200000000000003,6.849,70.3,3.1827,7,222,18.4,7.53,28.2
0.49298000000000003,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
0.06899,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22.0
6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
2.36862,0.0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53,14.6
0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18.0,6.19,33.2
0.030410000000000003,0.0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5
0.35809,0.0,6.2,1,0.507,6.9510000000000005,88.5,2.8617,8,307,17.4,9.71,26.7
7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29,13.4
0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59,35.4
0.07503,33.0,2.18,0,0.47200000000000003,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19,19.9
0.02985,0.0,2.18,0,0.45799999999999996,6.43,58.7,6.0622,3,222,18.7,5.21,28.7
0.04527,0.0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21.0,9.08,20.6
6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666,20.2,17.11,15.1
0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
0.15086,0.0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2
0.12329000000000001,0.0,10.01,0,0.547,5.912999999999999,92.9,2.3534,6,432,17.8,16.21,18.8
0.11425,0.0,13.89,1,0.55,6.372999999999999,92.4,3.3633,5,276,16.4,10.5,23.0
1.38799,0.0,8.14,0,0.5379999999999999,5.95,82.0,3.99,4,307,21.0,27.71,13.2
0.15037999999999999,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188,19.1,25.41,17.3
0.07151,0.0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2
0.12932000000000002,0.0,13.92,0,0.43700000000000006,6.678,31.1,5.9604,4,289,16.0,6.27,28.6
0.27957,0.0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,13.59,24.5
0.537,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307,17.4,4.63,50.0
0.03551,25.0,4.86,0,0.426,6.167000000000001,46.7,5.4007,4,281,19.0,7.51,22.9
0.05602000000000001,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45,50.0
0.17446,0.0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,17.27,21.7
0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,7.14,23.2
0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
0.08826,0.0,10.81,0,0.413,6.417000000000001,6.6,5.2873,4,305,19.2,6.72,24.2
4.34879,0.0,18.1,0,0.58,6.167000000000001,84.0,3.0334,24,666,20.2,16.29,19.9
0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8
8.26725,0.0,18.1,1,0.6679999999999999,5.875,89.6,1.1296,24,666,20.2,8.88,50.0
9.72418,0.0,18.1,0,0.74,6.406000000000001,97.2,2.0651,24,666,20.2,19.52,17.1
0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,10.15,20.5
0.053720000000000004,0.0,13.92,0,0.43700000000000006,6.5489999999999995,51.0,5.9604,4,289,16.0,7.39,27.1
0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
0.09164,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8
4.898219999999999,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,3.26,50.0
28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,20.08,16.3
20.0849,0.0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
0.04294,28.0,15.04,0,0.46399999999999997,6.249,77.3,3.615,4,270,18.2,10.59,20.6
0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03,31.1
0.04981,21.0,5.64,0,0.439,5.997999999999999,21.4,6.8147,4,243,16.8,8.43,23.4
2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403,14.7,9.81,25.0
9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,18.85,15.4
0.03961,0.0,5.19,0,0.515,6.037000000000001,34.5,5.9853,5,224,20.2,8.01,21.1
0.01311,90.0,1.22,0,0.40299999999999997,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
0.44178,0.0,6.2,0,0.504,6.5520000000000005,21.4,3.3751,8,307,17.4,3.76,31.5
0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
0.07875,45.0,3.44,0,0.43700000000000006,6.782,41.1,3.7886,5,398,15.2,6.68,32.0
0.21161,0.0,8.56,0,0.52,6.1370000000000005,87.4,2.7147,5,384,20.9,13.44,19.3
0.03615,80.0,4.95,0,0.41100000000000003,6.63,23.4,5.1167,4,245,19.2,4.7,27.9
0.10153,0.0,12.83,0,0.43700000000000006,6.279,74.5,4.0522,5,398,18.7,11.97,20.0
0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,6.87,23.1
0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
1.2324700000000002,0.0,8.14,0,0.5379999999999999,6.142,91.7,3.9769,4,307,21.0,18.72,15.2
4.22239,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,14.64,16.8
7.52601,0.0,18.1,0,0.713,6.417000000000001,98.3,2.185,24,666,20.2,19.31,13.0
6.53876,0.0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50.0
3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,13.27,21.7
13.0751,0.0,18.1,0,0.58,5.712999999999999,56.7,2.8237,24,666,20.2,14.76,20.1
0.021769999999999998,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,3.11,42.3
0.22438000000000002,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,14.33,16.8
2.37857,0.0,18.1,0,0.583,5.871,41.9,3.7239999999999998,24,666,20.2,13.34,20.6
0.7857,20.0,3.97,0,0.647,7.013999999999999,84.6,2.1329,5,264,13.0,14.79,30.7
0.2909,0.0,21.89,0,0.624,6.1739999999999995,93.6,1.6119,4,437,21.2,24.16,14.0
0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
0.43571000000000004,0.0,10.59,1,0.489,5.343999999999999,100.0,3.875,4,277,18.6,23.09,20.0
23.6482,0.0,18.1,0,0.6709999999999999,6.38,96.2,1.3861,24,666,20.2,23.69,13.1
18.4982,0.0,18.1,0,0.6679999999999999,4.138,100.0,1.137,24,666,20.2,37.97,13.8
0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264,13.0,3.16,43.5
11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666,20.2,15.02,16.7
0.08664,45.0,3.44,0,0.43700000000000006,7.178,26.3,6.4798,5,398,15.2,2.87,36.4
0.04741,0.0,11.93,0,0.573,6.03,80.8,2.505,1,273,21.0,7.88,11.9
0.8520399999999999,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307,21.0,13.83,19.6
25.9406,0.0,18.1,0,0.679,5.303999999999999,89.1,1.6475,24,666,20.2,26.64,10.4
0.06262999999999999,0.0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21.0,9.67,22.4
0.14455,12.5,7.87,0,0.524,6.172000000000001,96.1,5.9505,5,311,15.2,19.15,27.1
0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
15.8744,0.0,18.1,0,0.6709999999999999,6.545,99.1,1.5192,24,666,20.2,21.08,10.9
5.69175,0.0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98,19.1
1.15172,0.0,8.14,0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4,307,21.0,18.35,13.1
0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22.0
0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
0.10959,0.0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21.0,6.48,22.0
0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.46,21.7
4.812130000000001,0.0,18.1,0,0.713,6.7010000000000005,90.0,2.5975,24,666,20.2,16.42,16.4
0.18836,0.0,6.91,0,0.44799999999999995,5.7860000000000005,33.3,5.1004,3,233,17.9,14.15,20.0
3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14.0,21.9
0.06905,0.0,2.18,0,0.45799999999999996,7.147,54.2,6.0622,3,222,18.7,5.33,36.2
0.08872999999999999,21.0,5.64,0,0.439,5.962999999999999,45.7,6.8147,4,243,16.8,13.45,19.7
9.39063,0.0,18.1,0,0.74,5.627000000000001,93.9,1.8172,24,666,20.2,22.88,12.8
0.09178,0.0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,9.04,23.6
0.5341199999999999,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264,13.0,7.26,43.1
0.9884299999999999,0.0,8.14,0,0.5379999999999999,5.813,100.0,4.0952,4,307,21.0,19.88,14.5
0.40202,0.0,9.9,0,0.544,6.382000000000001,67.2,3.5325,4,304,18.4,10.36,23.1
0.1403,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330,19.1,5.9,24.4
0.05515,33.0,2.18,0,0.47200000000000003,7.236000000000001,41.1,4.022,7,222,18.4,6.93,36.1
0.11027,25.0,5.13,0,0.45299999999999996,6.456,67.8,7.2255,8,284,19.7,6.73,22.2
0.043789999999999996,80.0,3.37,0,0.39799999999999996,5.787000000000001,31.1,6.6115,4,337,16.1,10.24,19.4
0.01778,95.0,1.47,0,0.40299999999999997,7.135,13.9,7.6534,3,402,17.0,4.45,32.9
11.1081,0.0,18.1,0,0.6679999999999999,4.906000000000001,100.0,1.1742,24,666,20.2,34.77,13.8
0.03306,0.0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
0.11504,0.0,2.89,0,0.445,6.162999999999999,69.6,3.4952,2,276,18.0,11.34,21.4
0.19072999999999998,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56,26.2
0.26169000000000003,0.0,9.9,0,0.544,6.023,90.4,2.8339999999999996,4,304,18.4,11.72,19.4
9.18702,0.0,18.1,0,0.7,5.5360000000000005,100.0,1.5804,24,666,20.2,23.6,11.3
4.422280000000001,0.0,18.1,0,0.584,6.002999999999999,94.5,2.5403,24,666,20.2,21.32,19.1
19.6091,0.0,18.1,0,0.6709999999999999,7.313,97.9,1.3163,24,666,20.2,13.44,15.0
3.6736699999999995,0.0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,10.58,21.2
0.22211999999999998,0.0,10.01,0,0.547,6.0920000000000005,95.4,2.548,6,432,17.8,17.09,18.7
5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,7.01,25.0
0.44791000000000003,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,8.05,29.0
0.062110000000000005,40.0,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,5.98,22.9
8.792119999999999,0.0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
8.24809,0.0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74,17.8
3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666,20.2,14.36,23.2
67.9208,0.0,18.1,0,0.693,5.683,100.0,1.4254,24,666,20.2,22.98,5.0
0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,23.97,7.0
2.3139,0.0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
0.0795,60.0,1.69,0,0.41100000000000003,6.579,35.9,10.7103,4,411,18.3,5.49,24.1
1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,12.12,15.3
11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
0.32982,0.0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437,21.2,17.19,16.2
0.06724,0.0,3.24,0,0.46,6.332999999999999,17.2,5.2146,4,430,16.9,7.34,22.6
5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,14.7,6.43,24.3
